Model,Accuracy,Precision,Recall,F1,ROC_AUC,Training Time (s)
Logistic Regression,0.9992802519118309,0.9970019078768056,0.9997267012845039,0.9983624454148472,0.9999983724093864,1.78
Decision Tree,0.9997001049632629,0.9987714987714987,0.999863350642252,0.999317126468178,0.9998932195551589,1.51
Random Forest,0.9997600839706103,0.9991805517618138,0.9997267012845039,0.9994535519125683,0.9999997427356773,32.5
SVM,0.9985904933273354,0.9946931555313648,0.9989068051380159,0.9967955273743778,0.9999862757359222,1138.87
XGBoost,0.9999100314889788,0.999863331966653,0.9997267012845039,0.9997950119576358,0.9999999317462,8.98
